product_name,route,country,holder,pv_file_location,pv_email,pv_phone
Abacavir Mylan,Oral Use,United Kingdom (Northern Ireland),Generics [uk] Limited,Italy,productsafety@viatris.com,39 02 61246439
Abacavir Sandoz,Oral Use,France,Sandoz,Germany,eu-qppv.office@sandoz.com,49 15118939555
Abacavir Sandoz,Oral Use,Netherlands,Sandoz B.V.,Germany,eu-qppv.office@sandoz.com,49 15118939555
Abacavir Sulfate / Lamivudine Aurobindo,Oral Use,Netherlands,Aurobindo Pharma B.V.,Malta,pharmacovigilance.eu@aurobindo.com, 356 22294000
Abacavir Tarbis,Oral Use,Spain,"Tarbis Farma, S.L.",Netherlands,safety@amaroxpharma.com,34935659776
Abacavir Viatris,Oral Use,France,Viatris Sante,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudin Al,Oral Use,Germany,Aliud Pharma Gmbh,Germany,dso@stada.de,49 6101 603 214
Abacavir/Lamivudin Aurobindo,Oral Use,Germany,Puren Pharma Gmbh & Co. Kg,Malta,pharmacovigilance.eu@aurobindo.com, 356 22294000
Abacavir/Lamivudin Basics,Oral Use,Germany,Basics Gmbh,Romania,drugsafetyeurope@sunpharma.com, 40 264 501 163
Abacavir/Lamivudin Beta,Oral Use,Germany,Betapharm Arzneimittel Gmbh,Germany,pharmacovigilance@betapharm.de,49 172 3643749
Abacavir/Lamivudin Heumann,Oral Use,Germany,Heumann Pharma Gmbh & Co. Generica Kg,Germany,Medical.department@heumann.de,499114302364
Abacavir/Lamivudin Hormosan,Oral Use,Germany,Hormosan Pharma Gmbh,Germany,EU-PV@lupin.com, 49 69 478730
Abacavir/Lamivudin Medical Valley,Oral Use,Denmark,Medical Valley Invest Ab,Spain,safety@medicalvalley.se,34 619 275 590
Abacavir/Lamivudin Mylan,Oral Use,Denmark,Mylan Ab,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudin Mylan,Oral Use,Finland,Mylan Ab,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudin Mylan,Oral Use,Norway,Mylan Ab,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudin Mylan Pharma,Oral Use,Denmark,Mylan Ab,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudin Mylan Pharma,Oral Use,Germany,Mylan Germany Gmbh,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudin Puren,Oral Use,Germany,Puren Pharma Gmbh & Co. Kg,Malta,pharmacovigilance.eu@aurobindo.com, 356 22294000
Abacavir/Lamivudin Ratiopharm,Oral Use,Austria,Teva B.V,Croatia,safety.europe@tevaeu.com,385 1 372 4563
Abacavir/Lamivudin Ratiopharm,Oral Use,Germany,Ratiopharm Gmbh,Croatia,safety.europe@tevaeu.com,385 1 372 4563
Abacavir/Lamivudin Sandoz,Oral Use,Austria,Sandoz Gmbh,Germany,eu-qppv.office@sandoz.com,49 15118939555
Abacavir/Lamivudin Sandoz,Oral Use,United Kingdom (Northern Ireland),Sandoz Ltd,United Kingdom,jean.kilgour-christie@sandoz.net,49 1719110620
Abacavir/Lamivudin Stada,Oral Use,Austria,Stada Arzneimittel Gmbh,Germany,dso@stada.de,49 6101 603 214
Abacavir/Lamivudin Teva,Oral Use,Germany,Teva Gmbh,Croatia,safety.europe@tevaeu.com,385 1 372 4563
Abacavir/Lamivudin Teva,Oral Use,Netherlands,Teva Nederland B.V.,Croatia,safety.europe@tevaeu.com,385 1 372 4563
Abacavir/Lamivudin Viatris,Oral Use,Austria,Viatris Limited,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudin Viatris,Oral Use,Denmark,Viatris Limited,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudin Viatris,Oral Use,Finland,Mylan Ab,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudină,Oral Use,Romania,Terapia S.A.,Romania,drugsafetyeurope@sunpharma.com,40730199839
Abacavir/Lamivudina Aurovitas,Oral Use,Spain,"Aurovitas Spain,s.A.U.",Malta,pharmacovigilance.eu@aurobindo.com, 356 22294000
Abacavir/Lamivudina Dr. Reddys,Oral Use,Spain,"Reddy Pharma Iberia, S.A.",Germany,pharmacovigilance@betapharm.de,49 172 3643749
Abacavir/Lamivudina Glenmark,Oral Use,Spain,Glenmark Arzneimittel Gmbh,Germany,GlobalPV@glenmarkpharma.com,49 8142 443920
Abacavir/Lamivudina Macleods,Oral Use,Spain,"Macleods Pharma España, S.L.U",Poland,paulinamajewska@lambda-cro.com,48 690 150 933
Abacavir/Lamivudină Mylan,Oral Use,Romania,Mylan Pharmaceuticals Limited,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudina Tarbis,Oral Use,Spain,"Tarbis Farma, S.L.",Netherlands,safety@amaroxpharma.com,34935659776
Abacavir/Lamivudina Teva,Oral Use,Spain,"Teva Pharma S.L.U.,",Croatia,safety.europe@tevaeu.com,385 1 372 4563
Abacavir/Lamivudina Viatris,Oral Use,Spain,Viatris Limited,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudină Viatris,Oral Use,Romania,Viatris Limited,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudina/Zidovudina Mylan,Oral Use,Italy,Mylan S.P.A.,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudine Accord,Oral Use,France,Accord Healthcare France Sas,Poland,agatagesiewicz@lambda-cro.com,48 502 165 770
Abacavir/Lamivudine Accord,Oral Use,Latvia,Accord Healthcare B.V.,Poland,agatagesiewicz@lambda-cro.com,48 502 165 770
Abacavir/Lamivudine Accord,Oral Use,Lithuania,Accord Healthcare B.V.,Poland,agatagesiewicz@lambda-cro.com,48 502 165 770
Abacavir/Lamivudine Accord,Oral Use,Netherlands,Accord Healthcare B.V.,Poland,agatagesiewicz@lambda-cro.com,48 502 165 770
Abacavir/Lamivudine Accord,Oral Use,Sweden,Accord Healthcare B.V.,Poland,agatagesiewicz@lambda-cro.com,48 502 165 770
Abacavir/Lamivudine Accord,Oral Use,United Kingdom (Northern Ireland),Accord Healthcare Limited,Poland,agatagesiewicz@lambda-cro.com,48 502 165 770
Abacavir/Lamivudine Amarox,Oral Use,Germany,Amarox Pharma Gmbh,Netherlands,safety@amaroxpharma.com,49(0)894518748-28
Abacavir/Lamivudine Amarox,Oral Use,Netherlands,Amarox Pharma B.V.,Netherlands,safety@amaroxpharma.com,31850509801
Abacavir/Lamivudine Amarox,Oral Use,United Kingdom (Northern Ireland),Amarox Limited,Netherlands,safety@amaroxpharma.com,44(0)2039720005
Abacavir/Lamivudine Arrow,Oral Use,France,Arrow Generiques,Malta,pharmacovigilance.eu@aurobindo.com, 356 22294000
Abacavir/Lamivudine Auxilia,Oral Use,Estonia,Auxilia Pharma,Latvia,safety@snovigroup.com,37129865787
Abacavir/Lamivudine Dr. Reddy's,Oral Use,United Kingdom (Northern Ireland),Dr. Reddy's Laboratories (Uk) Ltd,Germany,pharmacovigilance@betapharm.de,49 172 3643749
Abacavir/Lamivudine Eg,Oral Use,France,Eg Labo Laboratoires Eurogenerics,Germany,dso@stada.de,49 6101 603 214
Abacavir/Lamivudine Glenmark,Oral Use,Denmark,Glenmark Arzneimittel Gmbh,Germany,GlobalPV@glenmarkpharma.com,49 8142 443920
Abacavir/Lamivudine Glenmark,Oral Use,Netherlands,Glenmark Arzneimittel Gmbh,Germany,GlobalPV@glenmarkpharma.com,49 8142 443920
Abacavir/Lamivudine Glenmark,Oral Use,Sweden,Glenmark Arzneimittel Gmbh,Germany,GlobalPV@glenmarkpharma.com,49 8142 443920
Abacavir/Lamivudine Lupin Healthcare (Uk),Oral Use,United Kingdom (Northern Ireland),Lupin Healthcare (Uk) Limited,Germany,EU-PV@lupin.com, 49 69 478730
Abacavir/Lamivudine Macleods,Oral Use,Netherlands,"Macleods Pharma España, S.L.U",Poland,paulinamajewska@lambda-cro.com,48 690 150 933
Abacavir/Lamivudine Macleods,Oral Use,United Kingdom (Northern Ireland),Macleods Pharma Uk Ltd,United Kingdom,monikagoyal@lambda-cro.com,44(0) 750 747 7573
Abacavir/Lamivudine Macleods Pharma Uk,Oral Use,United Kingdom (Northern Ireland),Macleods Pharma Uk Ltd,United Kingdom,monikagoyal@lambda-cro.com,44(0) 750 747 7573
Abacavir/Lamivudine Medical Valley,Oral Use,Sweden,Medical Valley Invest Ab,Spain,safety@medicalvalley.se,34 619 275 590
Abacavir/Lamivudine Milpharm,Oral Use,United Kingdom (Northern Ireland),Milpharm Limited,Malta,pharmacovigilance.eu@aurobindo.com, 356 22294000
Abacavir/Lamivudine Mylan,Oral Use,Estonia,Mylan Pharmaceuticals Limited,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudine Mylan,Oral Use,Ireland,Mcdermott Laboratories Ltd,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudine Mylan,Oral Use,Latvia,Mylan Pharmaceuticals Limited,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudine Mylan,Oral Use,Lithuania,Mylan Pharmaceuticals Limited,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudine Mylan,Oral Use,United Kingdom (Northern Ireland),Generics [uk] Limited,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudine Mylan Pharma,Oral Use,United Kingdom (Northern Ireland),Generics [uk] Limited,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudine Sandoz,Oral Use,Estonia,Sandoz Pharmaceuticals D.D.,Germany,eu-qppv.office@sandoz.com,49 15118939555
Abacavir/Lamivudine Sandoz,Oral Use,France,Sandoz,Germany,eu-qppv.office@sandoz.com,49 15118939555
Abacavir/Lamivudine Sandoz,Oral Use,Netherlands,Sandoz B.V.,Germany,eu-qppv.office@sandoz.com,49 15118939555
Abacavir/Lamivudine Sandoz,Oral Use,Sweden,Sandoz A/S,Germany,eu-qppv.office@sandoz.com,49 15118939555
Abacavir/Lamivudine Sandoz,Oral Use,United Kingdom (Northern Ireland),Sandoz Ltd,United Kingdom,jean.kilgour-christie@sandoz.net,49 1719110620
Abacavir/Lamivudine Stada,Oral Use,Denmark,Stada Arzneimittel Ag,Germany,dso@stada.de,49 6101 603 214
Abacavir/Lamivudine Stada,Oral Use,Finland,Stada Arzneimittel Ag,Germany,dso@stada.de,49 6101 603 214
Abacavir/Lamivudine Stada,Oral Use,Romania,Stada M&d S.R.L.,Germany,dso@stada.de,49 6101 603 214
Abacavir/Lamivudine Stada,Oral Use,Sweden,Stada Arzneimittel Ag,Germany,dso@stada.de,49 6101 603 214
Abacavir/Lamivudine Sun,Oral Use,United Kingdom (Northern Ireland),Sun Pharmaceutical Industries Europe B.V.,Romania,drugsafetyeurope@sunpharma.com,40-264-501163
Abacavir/Lamivudine Teva,Oral Use,Estonia,Teva B.V,Croatia,safety.europe@tevaeu.com,385 1 372 4563
Abacavir/Lamivudine Teva,Oral Use,France,Teva Santé,Croatia,safety.europe@tevaeu.com,385 1 372 4563
Abacavir/Lamivudine Teva,Oral Use,Hungary,Teva Gyógyszergyár Zrt,Croatia,safety.europe@tevaeu.com,385 1 372 4563
Abacavir/Lamivudine Unifarma,Oral Use,Latvia,Unifarma,Latvia,safety@snovigroup.com,371 29 865787
Abacavir/Lamivudine Viatris,Oral Use,Belgium,Viatris Gx,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudine Viatris,Oral Use,Bulgaria,Viatris Limited,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudine Viatris,Oral Use,Estonia,Viatris Limited,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudine Viatris,Oral Use,France,Viatris Sante,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudine Viatris,Oral Use,Ireland,Viatris Limited,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudine Viatris,Oral Use,Latvia,Viatris Limited,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudine Viatris,Oral Use,Lithuania,Viatris Limited,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudine Viatris,Oral Use,Luxembourg,Viatris Gx,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudine Viatris,Oral Use,Netherlands,Viatris Limited,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudine Viatris,Oral Use,Norway,Viatris Limited,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudine Viatris Generiques,Oral Use,France,Viatris Sante,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudine Zentiva,Oral Use,France,Zentiva France,Czech Republic,pharmacovigilance@zentiva.com,420602549911
Abacavir/Lamivudine/Zidovudine Mylan,Oral Use,Netherlands,Mylan Pharmaceuticals Limited,Italy,productsafety@viatris.com,39 02 61246439
Abacavir/Lamivudine/Zidovudine Viatris,Oral Use,France,Viatris Sante,Italy,productsafety@viatris.com,39 02 61246439
Abacavir+lamivudine Accord,Oral Use,Poland,Accord Healthcare Polska Sp. Z O.O.,Poland,agatagesiewicz@lambda-cro.com,48 502 165 770
Abacavir+lamivudine Mylan Pharma,Oral Use,Greece,Mylan Pharmaceuticals Limited,Italy,productsafety@viatris.com,39 02 61246439
Abagat,Oral Use,Malta,"Galenicum Health, S.L.",Spain,pharmacovigilance@galenicum.com,34 603796658
Abagat,Oral Use,Poland,Polfarmex S.A.,Poland,k.zolbach@polfarmex.pl,48223200611
Abakavir/Lamivudin Mylan Pharma,Oral Use,Sweden,Mylan Ab,Italy,productsafety@viatris.com,39 02 61246439
Abakavir/Lamivudin Viatris,Oral Use,Finland,Viatris Limited,Italy,productsafety@viatris.com,39 02 61246439
Abaktal,Oral Use,Czech Republic,Lek Pharmaceuticals D.D. Ljubljana,Germany,eu-qppv.office@sandoz.com,49 15118939555
Abaktal,Oral Use,Slovakia,Sandoz Pharmaceuticals D.D.,Germany,eu-qppv.office@sandoz.com,49 15118939555
Abalon,Oral Use,Germany,Tad Pharma Gmbh,Slovenia,Drug-Safety@tad.de,0049(0)47216060
Aban,Oral Use,Croatia,Alpha-Medical D.O.O.,Croatia,drugsafety@c-nova.com,0038512334225
Abasaglar,Subcutaneous Use,European Union,Eli Lilly Nederland B.V.,Germany,eu_pharmacovigilance_enquiries@lilly.com,44 1344 382407
Abasaglar,Subcutaneous Use,Iceland,Eli Lilly Nederland B.V.,Germany,eu_pharmacovigilance_enquiries@lilly.com,44 1344 382407
Abasaglar,Subcutaneous Use,Liechtenstein,Eli Lilly Nederland B.V.,Germany,eu_pharmacovigilance_enquiries@lilly.com,44 1344 382407
Abasaglar Kwikpen,Subcutaneous Use,European Union,Eli Lilly Nederland B.V.,Germany,eu_pharmacovigilance_enquiries@lilly.com,44 1344 382407
Abasaglar Kwikpen,Subcutaneous Use,Iceland,Eli Lilly Nederland B.V.,Germany,eu_pharmacovigilance_enquiries@lilly.com,44 1344 382407
Abasaglar Kwikpen,Subcutaneous Use,Liechtenstein,Eli Lilly Nederland B.V.,Germany,eu_pharmacovigilance_enquiries@lilly.com,44 1344 382407
Abasaglar Tempo Pen,Subcutaneous Use,European Union,Eli Lilly Nederland B.V.,Germany,eu_pharmacovigilance_enquiries@lilly.com,44 1344 382407
Abasaglar Tempo Pen,Subcutaneous Use,Iceland,Eli Lilly Nederland B.V.,Germany,eu_pharmacovigilance_enquiries@lilly.com,44 1344 382407
Abasaglar Tempo Pen,Subcutaneous Use,Liechtenstein,Eli Lilly Nederland B.V.,Germany,eu_pharmacovigilance_enquiries@lilly.com,44 1344 382407
Abasaglar Tempo Pen,Subcutaneous Use,Norway,Eli Lilly Nederland B.V.,Germany,eu_pharmacovigilance_enquiries@lilly.com,44 1344 382407
Abatixent,Oral Use,Austria,Sandoz Gmbh,Germany,eu-qppv.office@sandoz.com,49 15118939555
Abatixent,Oral Use,Bulgaria,Sandoz Pharmaceuticals D.D.,Germany,eu-qppv.office@sandoz.com,49 15118939555
Abatixent,Oral Use,Croatia,Sandoz D.O.O.,Germany,eu-qppv.office@sandoz.com,49 15118939555
Abatixent,Oral Use,Estonia,Sandoz Pharmaceuticals D.D.,Germany,eu-qppv.office@sandoz.com,49 15118939555
Abatixent,Oral Use,Latvia,Sandoz Pharmaceuticals D.D.,Germany,eu-qppv.office@sandoz.com,49 15118939555
Abatixent,Oral Use,Lithuania,Sandoz Pharmaceuticals D.D.,Germany,eu-qppv.office@sandoz.com,49 15118939555
Abatixent,Oral Use,Netherlands,Sandoz B.V.,Germany,eu-qppv.office@sandoz.com,49 15118939555
Abatixent,Oral Use,Poland,Sandoz Gmbh,Germany,eu-qppv.office@sandoz.com,49 15118939555
Abatixent,Oral Use,Romania,Sandoz Pharmaceuticals S.R.L.,Germany,eu-qppv.office@sandoz.com,49 15118939555
Abatixent,Oral Use,Slovenia,Sandoz Pharmaceuticals D.D.,Germany,eu-qppv.office@sandoz.com,49 15118939555
Abator,Oral Use,Cyprus,Sapiens Pharmaceuticals Ltd,Cyprus,pv@sapienspharma.com,25372425
Abattra,Transdermal Use,Spain,"Aristo Pharma Iberia, S.L.",Germany,pharmacovigilance@aristo-iberia.com,0034628250558
Abavalex,Oral Use,Austria,G.L. Pharma Gmbh,Austria,pv@gl-pharma.at,43 664 1067213
Abavalex,Oral Use,Bulgaria,G.L. Pharma Gmbh,Austria,pv@gl-pharma.at,43 664 1067213
Abavalex,Oral Use,Czech Republic,G.L. Pharma Gmbh,Austria,pv@gl-pharma.at,43 664 1067213
Abavalex,Oral Use,Denmark,G.L. Pharma Gmbh,Austria,pv@gl-pharma.at,43 664 1067213
Abavalex,Oral Use,Germany,G.L. Pharma Gmbh,Austria,pv@gl-pharma.at,436641067213
Abavalex,Oral Use,Hungary,G.L. Pharma Gmbh,Austria,pv@gl-pharma.at,43 664 1067213
Abavalex,Oral Use,Poland,G.L. Pharma Gmbh,Austria,pv@gl-pharma.at,06641067213
Abavalex,Oral Use,Romania,G.L. Pharma Gmbh,Austria,pv@gl-pharma.at,43 664 1067213
Abavalex,Oral Use,Slovakia,G.L. Pharma Gmbh,Austria,pv@gl-pharma.at,43 664 1067213
Abavalex,Oral Use,Sweden,G.L. Pharma Gmbh,Austria,pv@gl-pharma.at,436641067213
Abaxan,Oral Use,Hungary,Mensana Pharma Ltd,Hungary,mensana@oncopharma.hu,36302222763
Abba,Oral Use,Italy,Fidia Farmaceutici S.P.A,Italy,phv@fidiapharma.it,39 0498232244
Abbonate,Oral Use,Denmark,Abboxia Ab,Sweden,safety@frostpharma.com,46765173535
Abbonate,Oral Use,Finland,Abboxia Ab,Sweden,safety@frostpharma.com,46765173535
Abbonate,Oral Use,Iceland,Abboxia Ab,Sweden,safety@frostpharma.com,46765173535
Abbonate,Oral Use,Norway,Abboxia Ab,Sweden,safety@frostpharma.com,46765173535
Abbonate,Oral Use,Sweden,Abboxia Ab,Sweden,safety@frostpharma.com,46765173535
Abboticin,Intravenous Use,Denmark,Amdipharm Limited,France,medicalinformation@advanzpharma.com,32 28088620
Abboticin,Intravenous Use,Finland,Amdipharm Limited,France,medicalinformation@advanzpharma.com,32 28088620
Abboticin,Intravenous Use,Sweden,Amdipharm Limited,France,medicalinformation@advanzpharma.com,32 28088620
Abboticin,Oral Use,Norway,Amdipharm Limited,France,medicalinformation@advanzpharma.com,32 28088620
Abboticin,Oral Use,Sweden,Amdipharm Limited,France,medicalinformation@advanzpharma.com,32 28088620
Abboticin,Oral Use,Denmark,Amdipharm Limited,France,medicalinformation@advanzpharma.com,32 28088620
Abboticin,Intravenous Use,Norway,Amdipharm Limited,France,medicalinformation@advanzpharma.com,32 28088620
Abboticin,Oral Use,Denmark,Amdipharm Limited,France,medicalinformation@advanzpharma.com,32 28088620
Abboticin Es,Oral Use,Norway,Amdipharm Limited,France,medicalinformation@advanzpharma.com,32 28088620
Abboticin Novum,Oral Use,Finland,Amdipharm Limited,France,medicalinformation@advanzpharma.com,32 28088620
Abboticin Novum,Oral Use,Sweden,Amdipharm Limited,France,medicalinformation@advanzpharma.com,32 28088620
Abboticin Novum,Oral Use,Denmark,Amdipharm Limited,France,medicalinformation@advanzpharma.com,32 28088620
Abc Lokale Schmerz-Therapie Aktiv-Pflaster,Cutaneous Use,Austria,Beiersdorf Ag,Germany,pharmacovigilance@beiersdorf.com,49 40 4909 0
Abc Lokale Schmerz-Therapie Wärme,Cutaneous Use,Austria,Beiersdorf Ag,Germany,pharmacovigilance@beiersdorf.com,49 40 4909 0
Abc Lokale Schmerz-Therapie Wärme,Cutaneous Use,Germany,Beiersdorf Ag,Germany,pharmacovigilance@beiersdorf.com,49 40 4909 0
Abc Lokale Schmerz-Therapie Wärme,Cutaneous Use,Germany,Beiersdorf Ag,Germany,pharmacovigilance@beiersdorf.com,49 40 4909 0
Abc Lokale Schmerz-Therapie Wärme-Pflaster,Cutaneous Use,Austria,Beiersdorf Ag,Germany,pharmacovigilance@beiersdorf.com,49 40 4909 0
Abc Lokale Schmerz-Therapie Wärme-Pflaster Mit Sensitiv-Vlies,Cutaneous Use,Germany,Beiersdorf Ag,Germany,pharmacovigilance@beiersdorf.com,49 40 4909 0
Abdine Cold Relief,Oral Use,United Kingdom (Northern Ireland),Bell Sons & Co (Druggists) Ltd,United Kingdom,Med-info@bells-healthcare.com,01514221200
Abdine Hot Lemon Cold Relief,Oral Use,United Kingdom (Northern Ireland),Bell Sons & Co (Druggists) Ltd,United Kingdom,Med-info@bells-healthcare.com,01514221200
Abdomilon N Für Erwachsene Und Heranwachsende Ab 12 Jahren,Oral Use,Germany,Cesra Arzneimittel Gmbh And Co. Kg,Germany,drugsafety@cesra.de,49 (0) 173 2066548
Abdomin Citrus,Oral Use,Denmark,Orifarm Healthcare A/S,Denmark,Pharmacovigilance@orifarm.com,4563952700
Abdomin Citrus,Oral Use,Sweden,Orifarm Healthcare A/S,Denmark,Pharmacovigilance@orifarm.com,4563952700
Abdomin Junior Med Nøytral Smak,Oral Use,Norway,Orifarm Healthcare A/S,Denmark,Pharmacovigilance@orifarm.com,4563952700
Abdomin Junior Neutral,Oral Use,Denmark,Orifarm Healthcare A/S,Denmark,Pharmacovigilance@orifarm.com,4563952700
Abdomin Junior Neutral,Oral Use,Sweden,Orifarm Healthcare A/S,Denmark,Pharmacovigilance@orifarm.com,4563952700
Abdomin Med Nøytral Smak,Oral Use,Norway,Orifarm Healthcare A/S,Denmark,Pharmacovigilance@orifarm.com,4563952700
Abdomin Med Sitrussmak,Oral Use,Norway,Orifarm Healthcare A/S,Denmark,Pharmacovigilance@orifarm.com,4563952700
Abdomin Neutral,Oral Use,Denmark,Orifarm Healthcare A/S,Denmark,Pharmacovigilance@orifarm.com,4563952700
