date,type,dept
2026-05-20,MORNING,1
2026-05-20,MORNING,2
2026-05-20,MORNING,3
2026-05-20,MORNING,4
2026-05-20,MORNING,5
2026-05-20,MORNING,6
2026-05-20,MORNING,7
2026-05-20,MORNING,8
2026-05-21,MORNING,1
2026-05-21,MORNING,2
2026-05-21,MORNING,3
2026-05-21,MORNING,4
2026-05-21,MORNING,5
2026-05-21,MORNING,6
2026-05-21,MORNING,7
2026-05-21,MORNING,8
2026-05-22,MORNING,1
2026-05-22,MORNING,2
2026-05-22,MORNING,3
2026-05-22,MORNING,4
2026-05-22,MORNING,5
2026-05-22,MORNING,6
2026-05-22,MORNING,7
2026-05-22,MORNING,8
2026-05-23,MORNING,1
2026-05-23,MORNING,2
2026-05-23,MORNING,3
2026-05-23,MORNING,4
2026-05-23,MORNING,5
2026-05-23,MORNING,6
2026-05-23,MORNING,7
2026-05-23,MORNING,8
2026-05-24,MORNING,1
2026-05-24,MORNING,2
2026-05-24,MORNING,3
2026-05-24,MORNING,4
2026-05-24,MORNING,5
2026-05-24,MORNING,6
2026-05-24,MORNING,7
2026-05-24,MORNING,8
2026-05-25,MORNING,1
2026-05-25,MORNING,2
2026-05-25,MORNING,3
2026-05-25,MORNING,4
2026-05-25,MORNING,5
2026-05-25,MORNING,6
2026-05-25,MORNING,7
2026-05-25,MORNING,8
2026-05-26,MORNING,1
2026-05-26,MORNING,2
2026-05-26,MORNING,3
2026-05-26,MORNING,4
2026-05-26,MORNING,5
2026-05-26,MORNING,6
2026-05-26,MORNING,7
2026-05-26,MORNING,8
2026-05-27,MORNING,1
2026-05-27,MORNING,2
2026-05-27,MORNING,3
2026-05-27,MORNING,4
2026-05-27,MORNING,5
2026-05-27,MORNING,6
2026-05-27,MORNING,7
2026-05-27,MORNING,8
2026-05-28,MORNING,1
2026-05-28,MORNING,2
2026-05-28,MORNING,3
2026-05-28,MORNING,4
2026-05-28,MORNING,5
2026-05-28,MORNING,6
2026-05-28,MORNING,7
2026-05-28,MORNING,8
2026-05-29,MORNING,1
2026-05-29,MORNING,2
2026-05-29,MORNING,3
2026-05-29,MORNING,4
2026-05-29,MORNING,5
2026-05-29,MORNING,6
2026-05-29,MORNING,7
2026-05-29,MORNING,8
2026-05-30,MORNING,1
2026-05-30,MORNING,2
2026-05-30,MORNING,3
2026-05-30,MORNING,4
2026-05-30,MORNING,5
2026-05-30,MORNING,6
2026-05-30,MORNING,7
2026-05-30,MORNING,8
2026-05-31,MORNING,1
2026-05-31,MORNING,2
2026-05-31,MORNING,3
2026-05-31,MORNING,4
2026-05-31,MORNING,5
2026-05-31,MORNING,6
2026-05-31,MORNING,7
2026-05-31,MORNING,8
